code_postal,Commune,Code Département,Département,Code Région,Région
24410,ECHOURGNAC,24,DORDOGNE,72,AQUITAINE
05260,CHAMPOLEON,05,HAUTES-ALPES,93,PROVENCE-ALPES-COTE D'AZUR
08300,SAINT-LOUP-EN-CHAMPAGNE,08,ARDENNES,21,CHAMPAGNE-ARDENNE
03150,MONTOLDRE,03,ALLIER,83,AUVERGNE
57320,VOELFLING-LES-BOUZONVILLE,57,MOSELLE,41,LORRAINE
71420,SAINT-ROMAIN-SOUS-VERSIGNY,71,SAONE-ET-LOIRE,26,BOURGOGNE
80132,CAHON,80,SOMME,22,PICARDIE
54135,MEXY,54,MEURTHE-ET-MOSELLE,41,LORRAINE
45300,PITHIVIERS-LE-VIEIL,45,LOIRET,24,CENTRE
69360,SIMANDRES,69,RHONE,82,RHONE-ALPES
31700,BLAGNAC,31,HAUTE-GARONNE,73,MIDI-PYRENEES
73460,GRESY-SUR-ISERE,73,SAVOIE,82,RHONE-ALPES
01500,AMBRONAY,01,AIN,82,RHONE-ALPES
35330,LOUTEHEL,35,ILLE-ET-VILAINE,53,BRETAGNE
18200,ORVAL,18,CHER,24,CENTRE
42130,MONTVERDUN,42,LOIRE,82,RHONE-ALPES
66220,CAUDIES-DE-FENOUILLEDES,66,PYRENEES-ORIENTALES,91,LANGUEDOC-ROUSSILLON
30200,ORSAN,30,GARD,91,LANGUEDOC-ROUSSILLON
51300,MAISONS-EN-CHAMPAGNE,51,MARNE,21,CHAMPAGNE-ARDENNE
26230,CHAMARET,26,DROME,82,RHONE-ALPES
50420,CHEVRY,50,MANCHE,25,BASSE-NORMANDIE
09500,MIREPOIX,09,ARIEGE,73,MIDI-PYRENEES
51260,POTANGIS,51,MARNE,21,CHAMPAGNE-ARDENNE
55120,LE NEUFOUR,55,MEUSE,41,LORRAINE
74290,BLUFFY,74,HAUTE-SAVOIE,82,RHONE-ALPES
76890,VAL-DE-SAANE,76,SEINE-MARITIME,23,HAUTE-NORMANDIE
53210,LOUVIGNE,53,MAYENNE,52,PAYS DE LA LOIRE
43260,CHAMPCLAUSE,43,HAUTE-LOIRE,83,AUVERGNE
13620,CARRY-LE-ROUET,13,BOUCHES-DU-RHONE,93,PROVENCE-ALPES-COTE D'AZUR
16250,MAINFONDS,16,CHARENTE,54,POITOU-CHARENTES
21610,SAINT-SEINE-SUR-VINGEANNE,21,COTE-D'OR,26,BOURGOGNE
70130,SAINT-GAND,70,HAUTE-SAONE,43,FRANCHE-COMTE
67270,DURNINGEN,67,BAS-RHIN,42,ALSACE
16340,L'ISLE-D'ESPAGNAC,16,CHARENTE,54,POITOU-CHARENTES
77400,LAGNY-SUR-MARNE,77,SEINE-ET-MARNE,11,ILE-DE-FRANCE
65200,ORIGNAC,65,HAUTES-PYRENEES,73,MIDI-PYRENEES
15340,CALVINET,15,CANTAL,83,AUVERGNE
52100,LANEUVILLE-AU-PONT,52,HAUTE-MARNE,21,CHAMPAGNE-ARDENNE
24320,NANTEUIL-AURIAC-DE-BOURZAC,24,DORDOGNE,72,AQUITAINE
41240,BINAS,41,LOIR-ET-CHER,24,CENTRE
57260,GUEBLANGE-LES-DIEUZE,57,MOSELLE,41,LORRAINE
28330,LES ETILLEUX,28,EURE-ET-LOIR,24,CENTRE
14100,SAINT-MARTIN-DE-MAILLOC,14,CALVADOS,25,BASSE-NORMANDIE
64250,AINHOA,64,PYRENEES-ATLANTIQUES,72,AQUITAINE
72440,SAINT-MICHEL-DE-CHAVAIGNES,72,SARTHE,52,PAYS DE LA LOIRE
09240,MONTELS,09,ARIEGE,73,MIDI-PYRENEES
38113,VEUREY-VOROIZE,38,ISERE,82,RHONE-ALPES
56360,BANGOR,56,MORBIHAN,53,BRETAGNE
68610,LAUTENBACH,68,HAUT-RHIN,42,ALSACE
31230,MONTESQUIEU-GUITTAUT,31,HAUTE-GARONNE,73,MIDI-PYRENEES
64400,GERONCE,64,PYRENEES-ATLANTIQUES,72,AQUITAINE
05150,MONTJAY,05,HAUTES-ALPES,93,PROVENCE-ALPES-COTE D'AZUR
08380,LA NEUVILLE-AUX-JOUTES,08,ARDENNES,21,CHAMPAGNE-ARDENNE
94110,ARCUEIL,94,VAL-DE-MARNE,11,ILE-DE-FRANCE
57260,MULCEY,57,MOSELLE,41,LORRAINE
17180,PERIGNY,17,CHARENTE-MARITIME,54,POITOU-CHARENTES
28200,CHATEAUDUN,28,EURE-ET-LOIR,24,CENTRE
21530,LA ROCHE-EN-BRENIL,21,COTE-D'OR,26,BOURGOGNE
84760,SAINT-MARTIN-DE-LA-BRASQUE,84,VAUCLUSE,93,PROVENCE-ALPES-COTE D'AZUR
14340,MONTREUIL-EN-AUGE,14,CALVADOS,25,BASSE-NORMANDIE
04250,LE CAIRE,04,ALPES-DE-HAUTE-PROVENCE,93,PROVENCE-ALPES-COTE D'AZUR
65560,ARBEOST,65,HAUTES-PYRENEES,73,MIDI-PYRENEES
35210,CHATILLON-EN-VENDELAIS,35,ILLE-ET-VILAINE,53,BRETAGNE
57420,CHERISEY,57,MOSELLE,41,LORRAINE
26770,SALLES-SOUS-BOIS,26,DROME,82,RHONE-ALPES
38210,LA RIVIERE,38,ISERE,82,RHONE-ALPES
58190,BAZOCHES,58,NIEVRE,26,BOURGOGNE
51530,CHAVOT-COURCOURT,51,MARNE,21,CHAMPAGNE-ARDENNE
76116,AUZOUVILLE-SUR-RY,76,SEINE-MARITIME,23,HAUTE-NORMANDIE
85110,SAINTE-CECILE,85,VENDEE,52,PAYS DE LA LOIRE
69870,SAINT-JUST-D'AVRAY,69,RHONE,82,RHONE-ALPES
36190,GARGILESSE-DAMPIERRE,36,INDRE,24,CENTRE
76200,DIEPPE,76,SEINE-MARITIME,23,HAUTE-NORMANDIE
32400,FUSTEROUAU,32,GERS,73,MIDI-PYRENEES
52360,ANDILLY-EN-BASSIGNY,52,HAUTE-MARNE,21,CHAMPAGNE-ARDENNE
55130,BAUDIGNECOURT,55,MEUSE,41,LORRAINE
39290,BIARNE,39,JURA,43,FRANCHE-COMTE
74390,CHATEL,74,HAUTE-SAVOIE,82,RHONE-ALPES
97300,CAYENNE,97,GUYANE,3,GUYANE
88240,MONTMOTIER,88,VOSGES,41,LORRAINE
71640,SAINT-MARTIN-SOUS-MONTAIGU,71,SAONE-ET-LOIRE,26,BOURGOGNE
16130,GIMEUX,16,CHARENTE,54,POITOU-CHARENTES
85390,TALLUD-SAINTE-GEMME,85,VENDEE,52,PAYS DE LA LOIRE
21330,FONTAINES-LES-SECHES,21,COTE-D'OR,26,BOURGOGNE
77160,SAINT-HILLIERS,77,SEINE-ET-MARNE,11,ILE-DE-FRANCE
56340,PLOUHARNEL,56,MORBIHAN,53,BRETAGNE
50110,BRETTEVILLE,50,MANCHE,25,BASSE-NORMANDIE
42650,SAINT-JEAN-BONNEFONDS,42,LOIRE,82,RHONE-ALPES
35630,SAINT-SYMPHORIEN,35,ILLE-ET-VILAINE,53,BRETAGNE
77178,SAINT-PATHUS,77,SEINE-ET-MARNE,11,ILE-DE-FRANCE
60112,MARTINCOURT,60,OISE,22,PICARDIE
54122,GLONVILLE,54,MEURTHE-ET-MOSELLE,41,LORRAINE
16000,ANGOULEME,16,CHARENTE,54,POITOU-CHARENTES
24360,PIEGUT-PLUVIERS,24,DORDOGNE,72,AQUITAINE
16460,MOUTON,16,CHARENTE,54,POITOU-CHARENTES
61700,ROUELLE,61,ORNE,25,BASSE-NORMANDIE
01150,LAGNIEU,01,AIN,82,RHONE-ALPES
05200,EMBRUN,05,HAUTES-ALPES,93,PROVENCE-ALPES-COTE D'AZUR
81170,MONTROSIER,81,TARN,73,MIDI-PYRENEES
